threshold,threshold_pp,n_stopped,compute_saved,missed_winners,missed_rate,avg_regret
0.01,1.0,10,0.16666666666666669,3,0.07894736842105263,0.19870684931506846
0.02,2.0,12,0.2,4,0.10526315789473684,0.1577488632941103
0.03,3.0,14,0.23333333333333336,5,0.13513513513513514,0.1533990906352882
0.04,4.0,17,0.2833333333333334,5,0.14285714285714285,0.270744109589041
0.05,5.0,21,0.35000000000000003,7,0.20588235294117646,0.22347984433442278
