dataset,strategy,model_name,accuracy,base,final_acc,checkpoint,num_successes_seen,average_reward,perc_learnable,abs_improv,model_size,relative_improvement,train_score
cruxo,basewrong,phi-4,0.46,0.325625,0.45,400,481,0.1503125,0.2725,0.13437500000000002,14,0.1992585727525487,0.02141203703703704
cruxo,basewrong,phi-4,0.4325,0.325625,0.45,500,613,0.15325,0.27,0.106875,14,0.15848007414272475,0.02141203703703704
cruxo,basewrong,phi-4,0.4525,0.325625,0.45,600,796,0.16583333333333333,0.2833333333333333,0.12687500000000002,14,0.18813716404077854,0.02141203703703704
cruxo,basewrong,phi-4,0.475,0.325625,0.45,700,973,0.17375,0.2885714285714286,0.14937499999999998,14,0.22150139017608897,0.02141203703703704
cruxo,basewrong,phi-4,0.4575,0.325625,0.45,800,1167,0.18234375,0.2925,0.13187500000000002,14,0.19555143651529197,0.02141203703703704
cruxo,basewrong,phi-4,0.465,0.325625,0.45,900,1312,0.18222222222222223,0.29555555555555557,0.13937500000000003,14,0.20667284522706214,0.02141203703703704
cruxo,basewrong,phi-4,0.45,0.325625,0.45,1000,1466,0.18325,0.294,0.12437500000000001,14,0.1844300278035218,0.02141203703703704
cruxo,basewrongtrainright,phi-4,0.4,0.325625,0.4625,100,129,0.16125,0.63,0.07437500000000002,14,0.11028730305838744,0.059782608695652176
cruxo,basewrongtrainright,phi-4,0.445,0.325625,0.4625,200,570,0.35625,0.675,0.11937500000000001,14,0.17701575532900837,0.059782608695652176
cruxo,basewrongtrainright,phi-4,0.445,0.325625,0.4625,300,1035,0.43125,0.7,0.11937500000000001,14,0.17701575532900837,0.059782608695652176
cruxo,basewrongtrainright,phi-4,0.455,0.325625,0.4625,400,1576,0.4925,0.6975,0.12937500000000002,14,0.19184430027803526,0.059782608695652176
cruxo,basewrongtrainright,phi-4,0.4675,0.325625,0.4625,500,2094,0.5235,0.696,0.14187500000000003,14,0.21037998146431888,0.059782608695652176
cruxo,basewrongtrainright,phi-4,0.4575,0.325625,0.4625,600,2601,0.541875,0.6916666666666667,0.13187500000000002,14,0.19555143651529197,0.059782608695652176
cruxo,basewrongtrainright,phi-4,0.4875,0.325625,0.4625,700,3153,0.5630357142857143,0.69,0.161875,14,0.24003707136237257,0.059782608695652176
cruxo,basewrongtrainright,phi-4,0.465,0.325625,0.4625,800,3711,0.57984375,0.6925,0.13937500000000003,14,0.20667284522706214,0.059782608695652176
cruxo,basewrongtrainright,phi-4,0.475,0.325625,0.4625,900,4282,0.5947222222222223,0.6877777777777778,0.14937499999999998,14,0.22150139017608897,0.059782608695652176
cruxo,basewrongtrainright,phi-4,0.4625,0.325625,0.4625,1000,4850,0.60625,0.688,0.13687500000000002,14,0.20296570898980543,0.059782608695652176
cruxo,notbasewrong,phi-4,0.4025,0.325625,0.4575,100,575,0.71875,0.72,0.07687500000000003,14,0.11399443929564416,0.6834239130434783
